"Zürich",1458087
"Bern/Berne",1005094
"Luzern",395448
"Uri",35377
"Schwyz",153215
"Obwalden",36776
"Nidwalden",41856
"Glarus",39385
"Zug",121819
"Fribourg/Freiburg",305665
"Solothurn",265134
"Basel-Stadt",187917
"Basel-Landschaft",281404
"Schaffhausen",79295
"Appenzell Ausserrhoden",54000
"Appenzell Innerrhoden",15687
"Sankt Gallen",494482
"Graubünden/Grigioni/Grischun",194251
"Aargau",654178
"Thurgau",267202
"Ticino",348637
"Vaud",767954
"Valais/Wallis",332217
"Neuchâtel",175242
"Genève",466158
"Jura",71869
